id|location|neighborhood|net_aff_units|net_units
517|(37.7629713739, -122.393172)|Potrero Hill|7|59
518|(37.7790988371, -122.451448)|Inner Richmond|0|5
519|-|Bayview|0|122
520|(37.7759351465, -122.453275)|Inner Richmond|0|2
521|(37.7571301722, -122.414258)|Mission|0|6
522|(37.7764810837, -122.485979)|Outer Richmond|0|1
523|(37.7833280875, -122.474949)|Inner Richmond|0|1
524|(37.7407767469, -122.471969)|Parkside|0|1
525|(37.7965885336, -122.441677)|Marina|0|1
526|(37.7502213295, -122.487605)|Outer Sunset|0|1
527|(37.7449800758, -122.428037)|Noe Valley|0|1
528|(37.7847060368, -122.483668)|Outer Richmond|0|1
529|(37.7975295545, -122.441864)|Marina|0|1
530|MIXED USE-RESIDENTIAL|Soma|0|8
531|(37.7656720983, -122.440264)|Castro/Upper Market|0|1
532|(37.7382913197, -122.495516)|Parkside|0|1
533|-|Bayview|93|93
534|(37.7553782123, -122.412406)|Mission|0|20
535|(37.7996624898, -122.424617)|Marina|0|26
536|(37.7834683288, -122.469083)|Inner Richmond|0|1
537|-|Soma|0|86
538|(37.7646023877, -122.435716)|Castro/Upper Market|0|1
539|(37.7257550666, -122.422817)|Excelsior|0|1
540|(37.7553783068, -122.411842)|Mission|0|2
541|-|Russian Hill|0|1
542|-|Bayview|0|1
543|(37.8022379177, -122.421051)|Russian Hill|0|1
544|(37.7154450746, -122.467386)|Ocean View|0|1
545|(37.7128921254, -122.458789)|Ocean View|0|4
546|MIXED USE-RESIDENTIAL|Soma|0|9
547|(37.7858213806, -122.440770)|Western Addition|0|81
548|(37.7591597170, -122.419696)|Mission|0|1
549|(37.7828525512, -122.447442)|Presidio Heights|3|21
550|(37.7545945837, -122.413812)|Mission|17|117
551|MIXED USE-RESIDENTIAL|Soma|0|1
552|(37.7539421732, -122.441546)|Noe Valley|0|1
553|(37.7257224458, -122.422804)|Excelsior|0|1
554|(37.7374908436, -122.479883)|Parkside|0|1
555|(37.7892450311, -122.437106)|Pacific Heights|0|1
556|-|-|0|2
557|(37.7622313457, -122.445432)|Castro/Upper Market|0|1
558|MUR|805-878-7944|0|3
559|(37.7786275328, -122.479884)|Outer Richmond|0|1
560|(37.7899567523, -122.405082)|Financial District|0|45
561|(37.7536442952, -122.414541)|Mission|0|-1
562|(37.7985223479, -122.427678)|Marina|0|1
563|(37.7751069596, -122.457195)|Inner Richmond|0|1
564|(37.7289006114, -122.432038)|Outer Mission|0|1
565|(37.7756779770, -122.457193)|Inner Richmond|0|2
566|(37.7607995554, -122.409716)|Mission|0|60
567|(37.7750752556, -122.457451)|Inner Richmond|0|3
568|(37.7440696229, -122.409135)|Bernal Heights|0|1
569|(37.7527220661, -122.414454)|Mission|0|4
570|(37.7266740414, -122.402923)|Excelsior|0|2
571|(37.7312815616, -122.441528)|Outer Mission|0|1
572|(37.7526480654, -122.408022)|Mission|0|8
573|CESPIRIT|Soma|0|2
574|(37.7358537748, -122.504737)|Parkside|1|56
575|(37.8016255697, -122.424188)|Russian Hill|0|2
576|(37.7668015725, -122.447713)|Haight Ashbury|0|1
577|(37.8027501335, -122.423410)|Russian Hill|0|3
578|(37.7510550184, -122.406707)|Mission|0|4
579|(37.7850790243, -122.445523)|Western Addition|0|1
580|(37.7561367271, -122.410977)|Mission|0|1
581|(37.7530474102, -122.408791)|Mission|0|3
582|(37.7960087665, -122.446098)|Marina|0|1
583|(37.7963837285, -122.446362)|Marina|0|1
584|(37.7963799742, -122.446458)|Marina|0|1
585|(37.7517154623, -122.413668)|Mission|0|1
586|(37.7830434647, -122.470127)|Inner Richmond|0|1
587|(37.7356510126, -122.453629)|West of Twin Peaks|0|1
588|(37.7512978242, -122.413629)|Mission|0|1
589|(37.7509669159, -122.417976)|Mission|0|2
590|(37.7823797743, -122.449863)|Presidio Heights|0|2
591|(37.7255411478, -122.402449)|Excelsior|1|10
592|(37.7503125814, -122.418539)|Mission|7|55
593|(37.7146311602, -122.408601)|Visitacion Valley|0|1
594|(37.8015373927, -122.425995)|Marina|0|2
595|(37.7575371057, -122.413300)|Mission|0|2
596|(37.7335730551, -122.476397)|Lakeshore|0|1
597|(37.7331640270, -122.481311)|Lakeshore|0|1
598|(37.7284069324, -122.425151)|Excelsior|0|1
599|(37.7832454571, -122.451060)|Presidio Heights|0|1
600|(37.8029085701, -122.408605)|North Beach|0|2
601|-|Soma|0|354
602|(37.7263444900, -122.414260)|Excelsior|0|4
603|(37.7205047819, -122.483875)|Lakeshore|0|89
604|(37.7308217354, -122.448586)|Outer Mission|0|1
605|(37.7750995504, -122.424040)|Western Addition|1|16
606|(37.7755184651, -122.424124)|Western Addition|1|16
607|MIXED USE-RESIDENTIAL|Soma|0|84
608|(37.7836246512, -122.485261)|Outer Richmond|0|9
609|(37.7621021027, -122.445587)|Castro/Upper Market|0|2
610|(37.7277801111, -122.430569)|Excelsior|0|198
611|(37.7262792492, -122.414233)|Excelsior|0|1
612|(37.7991913652, -122.430628)|Marina|0|2
613|(37.7790034384, -122.493587)|Outer Richmond|0|2
614|(37.7480749406, -122.410116)|Bernal Heights|0|1
615|(37.7819419465, -122.492031)|Outer Richmond|0|6
616|(37.7527652854, -122.412775)|Mission|0|1
617|(37.7147416058, -122.409008)|Visitacion Valley|0|1
618|(37.7262140074, -122.414206)|Excelsior|0|1
619|(37.7261487666, -122.414179)|Excelsior|0|1
620|(37.7090869282, -122.418486)|Visitacion Valley|0|1
621|(37.7614146990, -122.445239)|Castro/Upper Market|0|1
622|(37.7571233500, -122.437602)|Castro/Upper Market|0|2
623|(37.7777008471, -122.422008)|Downtown/Civic Center|0|8
624|(37.7739757383, -122.440640)|Haight Ashbury|0|4
625|(37.7479114444, -122.413326)|Bernal Heights|0|2
626|(37.7645587264, -122.491654)|Outer Sunset|0|1
627|(37.7473811751, -122.499145)|Outer Sunset|0|1
628|(37.7681205858, -122.417460)|Mission|0|4
629|(37.7464020297, -122.419774)|Bernal Heights|0|4
630|(37.7832372665, -122.490008)|Outer Richmond|0|2
631|(37.7595387761, -122.445090)|Castro/Upper Market|0|2
632|DVU|Soma|0|1
633|(37.7756554306, -122.493192)|Outer Richmond|0|3
634|(37.7994601361, -122.441238)|Marina|0|2
635|(37.7832193794, -122.488927)|Outer Richmond|0|1
636|(37.7415816226, -122.421344)|Bernal Heights|0|1
637|(37.7756429957, -122.493464)|Outer Richmond|0|1
638|(37.7632790476, -122.418264)|Mission|0|2
639|(37.7831848384, -122.489586)|Outer Richmond|0|2
640|(37.7362968500, -122.427427)|Glen Park|0|1
641|(37.7487468193, -122.432263)|Noe Valley|0|1
642|(37.7877714372, -122.392947)|Soma|0|119
643|(37.7606387353, -122.416109)|Mission|0|1
644|(37.7236287361, -122.429446)|Excelsior|0|1
645|(37.7626994170, -122.422774)|Mission|0|3
646|(37.7225544630, -122.437255)|Outer Mission|0|1
647|CTOWNES|Soma|0|9
648|(37.7331369488, -122.495609)|Lakeshore|0|1
649|(37.7449714568, -122.413018)|Bernal Heights|0|1
650|(37.7261747450, -122.438058)|Outer Mission|0|1
651|(37.7570741100, -122.435437)|Castro/Upper Market|0|1
652|(37.7635791096, -122.419977)|Mission|0|2
653|(37.7485212169, -122.416462)|Mission|0|50
654|(37.7605405642, -122.417664)|Mission|0|6
655|RSUCRE|Soma|18|219
656|(37.7621003005, -122.393219)|Potrero Hill|0|2
657|(37.7590266075, -122.416153)|Mission|0|6
658|(37.7570507352, -122.422742)|Mission|0|2
659|DLINDSAY|4155678800|0|4
660|(37.7351671187, -122.417905)|Bernal Heights|0|1
661|(37.7298683946, -122.495087)|Lakeshore|0|1
662|JSPEIRS|Soma|0|5
663|(37.7871196058, -122.393231)|Soma|0|355
664|(37.7620042484, -122.419986)|Mission|0|16
665|(37.8016975890, -122.441193)|Marina|0|1
666|(37.7790720259, -122.422880)|Downtown/Civic Center|8|69
667|(37.7220634018, -122.456912)|Ocean View|0|1
668|(37.7584869685, -122.417736)|Mission|0|1
669|(37.7487976019, -122.418996)|Mission|0|1
670|MIXED USE-RESIDENTIAL|Soma|0|104
671|(37.7785764701, -122.422444)|Downtown/Civic Center|0|2
672|(37.7651395989, -122.407816)|Mission|11|72
673|(37.7351605943, -122.417776)|Bernal Heights|0|2
674|KDURANDE|Soma|0|38
675|(37.7597470121, -122.445065)|Castro/Upper Market|0|1
676|(37.7359102555, -122.418448)|Bernal Heights|0|1
677|-|North Beach|0|13
678|BBENDIX|Soma|0|4
679|(37.7246538358, -122.423735)|Excelsior|0|1
680|(37.7621855364, -122.420650)|Mission|0|1
681|DSANCHEZ|Soma|62|410
682|(37.7815509450, -122.473702)|Inner Richmond|0|1
683|(37.7112364407, -122.463674)|Ocean View|0|1
684|(37.7646191749, -122.431513)|Castro/Upper Market|0|1
685|(37.7420758785, -122.413348)|Bernal Heights|0|2
686|(37.7420073654, -122.413353)|Bernal Heights|0|1
687|(37.7614767362, -122.422239)|Mission|0|2
688|(37.7495347241, -122.421077)|Mission|0|3
689|(37.7420427938, -122.504189)|Parkside|0|3
690|(37.7135229217, -122.464116)|Ocean View|0|1
691|(37.7459344607, -122.406165)|Bernal Heights|0|1
692|(37.7610238145, -122.417871)|Mission|0|1
693|(37.7743834370, -122.426020)|Western Addition|0|2
694|(37.7453591244, -122.415526)|Bernal Heights|0|1
695|(37.8033220535, -122.440328)|Marina|0|1
696|(37.7182552944, -122.398340)|Bayview|0|1
697|(37.7498409740, -122.450719)|Twin Peaks|0|1
698|(37.7730344803, -122.397263)|Soma|0|129
699|(37.7566230913, -122.501654)|Outer Sunset|0|12
700|(37.7483228607, -122.421911)|Mission|0|28
701|MIXED USE-RESIDENTIAL|Soma|0|87
702|(37.7810277190, -122.480834)|Outer Richmond|0|2
703|(37.7383402603, -122.418884)|Bernal Heights|0|1
704|(37.7596601490, -122.424664)|Mission|0|1
705|WSOMA MIXED USE-GENERAL|Soma|0|89
706|(37.7894358746, -122.453441)|Presidio Heights|0|1
707|(37.7581685408, -122.422719)|Mission|0|5
708|(37.7533042285, -122.424578)|Mission|0|1
709|(37.7457694397, -122.428287)|Noe Valley|0|1
710|(37.7830581759, -122.451649)|Presidio Heights|0|1
711|(37.7450224104, -122.406241)|Bernal Heights|0|1
712|(37.7604583697, -122.501893)|Outer Sunset|0|1
713|(37.7528079195, -122.503573)|Outer Sunset|2|14
714|(37.7813281780, -122.471080)|Inner Richmond|0|1
715|(37.7565716133, -122.430673)|Castro/Upper Market|0|1
716|(37.7560813197, -122.430637)|Noe Valley|0|1
717|(37.7629212526, -122.435500)|Castro/Upper Market|3|24
718|(37.7476387185, -122.423966)|Bernal Heights|0|1
719|MIXED USE-RESIDENTIAL|Soma|22|116
720|(37.8054974803, -122.413148)|North Beach|0|2
721|(37.7219859905, -122.397158)|Bayview|0|1
722|(37.7357813508, -122.424867)|Bernal Heights|0|2
723|(37.7308287710, -122.446811)|Outer Mission|0|1
724|(37.7519013545, -122.428074)|Noe Valley|0|5
725|(37.7565975419, -122.504248)|Outer Sunset|0|1
726|(37.7860914780, -122.393473)|Soma|20|180
727|(37.7517507283, -122.429905)|Noe Valley|0|3
728|(37.7592647564, -122.431205)|Castro/Upper Market|0|3
729|(37.7533535107, -122.430629)|Noe Valley|0|1
730|(37.7814467053, -122.461678)|Inner Richmond|0|2
731|(37.7512690354, -122.430431)|Noe Valley|0|1
732|(37.7628339073, -122.433835)|Castro/Upper Market|0|1
733|(37.7603061593, -122.504559)|Outer Sunset|0|6
734|(37.7734371145, -122.437121)|Western Addition|0|152
735|(37.7490628955, -122.503406)|Outer Sunset|0|1
736|(37.7516329690, -122.432527)|Noe Valley|0|2
737|(37.7752594628, -122.502008)|Outer Richmond|0|1
738|(37.7472612099, -122.430226)|Noe Valley|0|2
739|(37.7515861794, -122.433303)|Noe Valley|0|3
740|(37.7611561007, -122.434317)|Castro/Upper Market|0|1
741|DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)|Financial District|49|403
742|(37.7308624028, -122.446987)|Outer Mission|0|1
743|(37.7398944602, -122.388649)|Bayview|0|32
744|(37.7472771242, -122.431727)|Noe Valley|0|1
745|(37.7309478818, -122.447074)|Outer Mission|0|1
746|(37.7626118972, -122.437954)|Castro/Upper Market|0|1
747|(37.7707388121, -122.452461)|Haight Ashbury|0|1
748|(37.7509930999, -122.435065)|Noe Valley|0|2
749|(37.7514671647, -122.435310)|Noe Valley|0|5
750|(37.7749254284, -122.443190)|Haight Ashbury|0|1
751|(37.7509639018, -122.435539)|Noe Valley|0|5
752|(37.7707621272, -122.451840)|Haight Ashbury|0|1
753|(37.7300573119, -122.412030)|Excelsior|0|6
754|(37.7106793665, -122.449887)|Outer Mission|0|1
755|(37.7502456193, -122.439799)|Noe Valley|0|1
756|(37.7536809870, -122.430395)|Noe Valley|0|1
757|(37.7397410510, -122.471587)|Parkside|0|1
758|(37.7470172819, -122.434219)|Noe Valley|0|1
759|(37.7806907964, -122.464709)|Inner Richmond|0|2
760|(37.7815675711, -122.484098)|Outer Richmond|0|2
761|(37.7447452909, -122.431862)|Noe Valley|0|1
762|(37.7319534059, -122.423896)|Bernal Heights|0|1
763|(37.7524250295, -122.437938)|Noe Valley|0|1
764|(37.7214246881, -122.433699)|Excelsior|0|1
765|(37.7562669315, -122.467379)|Inner Sunset|0|1
766|(37.7779325148, -122.423748)|Western Addition|0|1
767|(37.7872476346, -122.390396)|Soma|0|140
768|(37.7519252657, -122.442288)|Noe Valley|0|1
769|-|-|0|3
770|(37.7839367125, -122.414834)|Downtown/Civic Center|0|27
771|(37.7805135376, -122.460277)|Inner Richmond|0|1
772|(37.7284566752, -122.431899)|Outer Mission|0|10
773|(37.7861061141, -122.411999)|Downtown/Civic Center|0|9
774|(37.7511704124, -122.440146)|Noe Valley|0|1
775|(37.7208794528, -122.428660)|Excelsior|0|1
776|(37.7161556896, -122.443478)|Outer Mission|0|1
777|(37.7691410809, -122.421048)|Mission|0|3
778|(37.7495421626, -122.438609)|Noe Valley|0|1
779|(37.7803657355, -122.504434)|Outer Richmond|0|1
780|(37.7293127989, -122.451883)|Outer Mission|0|1
781|(37.7223053453, -122.431943)|Excelsior|0|1
782|(37.7708196671, -122.430988)|Western Addition|0|1
783|(37.7361540169, -122.429739)|Glen Park|0|0
784|(37.7510497004, -122.442199)|Noe Valley|0|1
785|(37.7759605019, -122.425320)|Western Addition|0|2
786|(37.7678088031, -122.423254)|Mission|0|20
787|-|Soma|0|36
788|(37.7770361122, -122.423879)|Western Addition|5|41
789|(37.7861458355, -122.412403)|Downtown/Civic Center|0|184
790|(37.7620708507, -122.445425)|Castro/Upper Market|0|1
791|(37.7736178605, -122.507322)|Outer Richmond|0|1
792|(37.7603248009, -122.440085)|Castro/Upper Market|0|1
793|(37.7206315842, -122.469240)|Ocean View|0|1
794|(37.7592279315, -122.440055)|Castro/Upper Market|0|1
795|(37.7182662591, -122.480908)|Lakeshore|0|248
796|(37.7469297366, -122.430509)|Noe Valley|0|1
797|MIXED USE-RESIDENTIAL|Soma|0|1
798|(37.7097682850, -122.417004)|Visitacion Valley|0|1
799|(37.7208822967, -122.467790)|Ocean View|0|1
800|(37.7191200594, -122.465079)|Ocean View|0|1
801|MIXED USE-RESIDENTIAL|Soma|0|25
802|(37.7833038679, -122.415319)|Downtown/Civic Center|0|28
803|(37.7145818993, -122.412910)|Visitacion Valley|0|1
804|(37.7795664882, -122.465999)|Inner Richmond|0|2
805|(37.7283480507, -122.425196)|Excelsior|0|1
806|(37.7807450347, -122.484038)|Outer Richmond|0|2
807|(37.7354427994, -122.390845)|Bayview|0|13
808|(37.7793527786, -122.469202)|Inner Richmond|0|1
809|TCHANG|Soma|2|30
810|(37.7305033801, -122.478386)|Lakeshore|0|1
811|-|Soma|0|4
812|(37.7634776614, -122.407671)|Mission|11|77
813|MIXED USE-RESIDENTIAL|Soma|0|5
814|(37.7728488321, -122.483587)|Outer Richmond|0|1
815|(37.7799975445, -122.495743)|Outer Richmond|0|1
816|(37.7233354284, -122.460438)|Ocean View|0|1
817|(37.7416345986, -122.430662)|Glen Park|0|1
818|(37.7674173536, -122.420868)|Mission|0|8
819|(37.7119397091, -122.446865)|Outer Mission|0|1
820|-|Bayview|0|63
821|-|Bayview|0|71
822|-|Bayview|0|81
823|-|Bayview|0|58
824|(37.7654799379, -122.417824)|Mission|12|84
825|(37.7257185332, -122.417320)|Excelsior|0|34
826|(37.7120502105, -122.442239)|Crocker Amazon|0|1
827|(37.7150123556, -122.406152)|Visitacion Valley|0|1
828|(37.7439918016, -122.433053)|Noe Valley|0|1
829|-|Soma|0|6
830|(37.7220757048, -122.398137)|Bayview|0|1
831|(37.7782602192, -122.477973)|Inner Richmond|0|1
832|(37.7487693855, -122.419391)|Mission|0|4
833|(37.7185445002, -122.439782)|Outer Mission|0|1
834|(37.7549991397, -122.469024)|Inner Sunset|0|1
835|(37.7090361495, -122.423751)|Crocker Amazon|0|2
836|JDISALVO|Soma|0|16
837|(37.7626524039, -122.428289)|Castro/Upper Market|0|1
838|(37.7177327703, -122.440588)|Outer Mission|9|61
839|(37.7198554072, -122.467389)|Ocean View|0|1
840|(37.7783331865, -122.474659)|Inner Richmond|0|1
841|(37.7320327366, -122.391974)|Bayview|0|6
842|(37.7789309862, -122.460119)|Inner Richmond|0|2
843|(37.7788337369, -122.462263)|Inner Richmond|0|1
844|(37.7707814635, -122.408323)|Soma|0|12
845|(37.7785299770, -122.465924)|Inner Richmond|0|1
846|(37.7749492313, -122.428593)|Western Addition|0|1
847|(37.7749379134, -122.428681)|Western Addition|0|1
848|(37.7626818851, -122.406563)|Mission|0|1
849|(37.7628748413, -122.439191)|Castro/Upper Market|0|1
850|(37.7332197787, -122.401695)|Bayview|0|1
851|(37.7850034928, -122.451355)|Presidio Heights|0|1
852|(37.7391576140, -122.429340)|Glen Park|0|1
853|-|Soma|0|1
854|JSPEIRS|Soma|0|1
855|(37.7781808686, -122.469117)|Inner Richmond|0|1
856|(37.7595300370, -122.395576)|Potrero Hill|0|2
857|(37.7786155771, -122.500423)|Outer Richmond|0|1
858|(37.7442892866, -122.434308)|Noe Valley|0|1
859|(37.7279420245, -122.426186)|Excelsior|0|1
860|(37.7629070770, -122.401732)|Potrero Hill|0|17
861|(37.7811065550, -122.477592)|Inner Richmond|4|41
862|(37.7205552534, -122.465643)|Ocean View|0|1
863|(37.7104432192, -122.405217)|Visitacion Valley|0|1
864|-|-|0|6
865|(37.7137356925, -122.472043)|Lakeshore|0|313
866|(37.7712187550, -122.426532)|Western Addition|0|116
867|(37.7723498547, -122.426279)|Western Addition|0|191
868|(37.7716971210, -122.426147)|Western Addition|0|79
869|(37.7780985777, -122.464818)|Inner Richmond|0|1
870|(37.7636526903, -122.392086)|Potrero Hill|0|12
871|(37.7781680410, -122.425752)|Western Addition|17|139
872|MWOODS|Downtown/Civic Center|0|52
873|(37.7876828270, -122.410943)|Downtown/Civic Center|0|17
874|(37.7300619968, -122.393718)|Bayview|0|1
875|(37.7431467256, -122.457536)|West of Twin Peaks|0|1
876|(37.7625686214, -122.444928)|Castro/Upper Market|0|2
877|(37.7800081450, -122.479798)|Outer Richmond|0|4
878|(37.7784064065, -122.494618)|Outer Richmond|0|1
879|(37.7349365486, -122.431617)|Glen Park|0|1
880|(37.7783676980, -122.493957)|Outer Richmond|0|1
881|(37.7137117251, -122.447886)|Outer Mission|0|1
882|(37.7104790943, -122.448632)|Outer Mission|0|2
883|(37.7301730061, -122.495643)|Lakeshore|0|1
884|(37.7828901361, -122.411062)|Downtown/Civic Center|0|78
885|(37.7807792760, -122.410310)|Soma|6|47
886|(37.7716235232, -122.432397)|Western Addition|0|1
887|(37.7771025613, -122.480546)|Outer Richmond|0|1
888|(37.7096256907, -122.449035)|Crocker Amazon|0|5
889|(37.7188041687, -122.430228)|Excelsior|0|1
890|(37.7778804705, -122.499952)|Outer Richmond|0|2
891|(37.7271936811, -122.458514)|West of Twin Peaks|0|1
892|(37.7625648010, -122.401699)|Potrero Hill|0|3
893|(37.7767566767, -122.426029)|Western Addition|0|29
894|(37.7086917569, -122.451777)|Crocker Amazon|0|2
895|(37.7589814724, -122.394899)|Potrero Hill|0|2
896|(37.7151387203, -122.415336)|Visitacion Valley|0|5
897|(37.8001570565, -122.413660)|Russian Hill|0|1
898|(37.7838284084, -122.481110)|Outer Richmond|0|1
899|(37.7641408316, -122.389528)|Potrero Hill|0|20
900|(37.7619566737, -122.447681)|Haight Ashbury|0|4
901|KGUY|Soma|58|688
902|MIXED USE-RESIDENTIAL|Soma|0|146
903|(37.7448851792, -122.415871)|Bernal Heights|0|1
904|(37.7499080729, -122.441906)|Noe Valley|0|1
905|(37.7252993496, -122.435860)|Outer Mission|0|1
906|(37.7083664783, -122.465159)|Ocean View|0|1
907|(37.7778694361, -122.485925)|Outer Richmond|0|1
908|(37.7562502182, -122.417453)|Mission|0|5
909|(37.7633181465, -122.417617)|Mission|4|27
910|SUPERVISORIAL DISTRICT 6|-|150|$0.00
911|(37.7431550963, -122.433584)|Noe Valley|0|1
912|(37.7758374088, -122.439975)|Haight Ashbury|0|1
913|(37.7640051848, -122.389516)|Potrero Hill|0|24
914|(37.7804129867, -122.484482)|Outer Richmond|0|3
915|(37.7937095167, -122.404824)|Chinatown|0|1
916|(37.7588111296, -122.393911)|Potrero Hill|0|1
917|(37.7775005558, -122.494474)|Outer Richmond|0|1
918|(37.7716343941, -122.432311)|Western Addition|0|0
919|(37.7599510685, -122.468623)|Inner Sunset|0|2
920|(37.7771862696, -122.499820)|Outer Richmond|0|1
921|(37.7797507665, -122.485395)|Outer Richmond|0|4
922|KDURANDE|Soma|0|1
923|(37.7762906463, -122.475534)|Inner Richmond|0|1
924|(37.7236296138, -122.428608)|Excelsior|0|1
925|-|Soma|0|1
926|(37.7916140466, -122.407750)|Chinatown|0|1
927|(37.7434826606, -122.434319)|Noe Valley|0|1
928|(37.7767767196, -122.428597)|Western Addition|0|1
929|-|Soma|0|3
930|(37.7202892387, -122.396224)|Bayview|0|6
931|MIXED USE-OFFICE|Soma|0|392
932|(37.7605135472, -122.400523)|Potrero Hill|0|1
933|(37.7835675940, -122.486511)|Outer Richmond|0|1
934|(37.7198496609, -122.397168)|Bayview|0|17
935|(37.7756776967, -122.479372)|Outer Richmond|0|1
936|-|-|0|1
937|(37.7253459459, -122.460148)|West of Twin Peaks|0|1
938|(37.7607075057, -122.410678)|Mission|0|4
939|-|Soma|0|84
940|(37.7424570023, -122.408581)|Bernal Heights|1|1
941|(37.7579634101, -122.394572)|Potrero Hill|11|94
942|VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT|Edward Morris|9|-
943|(37.7454018988, -122.434331)|Noe Valley|0|1
944|(37.7757418183, -122.437588)|Western Addition|0|9
945|(37.7621478304, -122.391862)|Potrero Hill|16|60
946|(37.7621478304, -122.391862)|Potrero Hill|16|51
947|(37.7863441501, -122.413955)|Downtown/Civic Center|0|51
948|(37.7428890057, -122.473713)|Parkside|0|3
949|(37.7624177673, -122.421365)|Mission|0|4
950|(37.7578281854, -122.416001)|Mission|0|1
951|(37.7762910124, -122.460387)|Inner Richmond|0|1
952|(37.7522575708, -122.435520)|Noe Valley|0|1
953|(37.7606495194, -122.423404)|Mission|0|1
954|(37.7826086869, -122.451979)|Presidio Heights|0|1
955|-|Soma|0|250
956|(37.7751731983, -122.481902)|Outer Richmond|0|1
957|(37.7604478569, -122.424004)|Mission|0|3
958|(37.7762863159, -122.497033)|Outer Richmond|0|1
959|(37.7823056209, -122.452972)|Presidio Heights|0|1
960|(37.7440061093, -122.459291)|West of Twin Peaks|0|1
961|(37.7681356246, -122.448578)|Haight Ashbury|0|1
962|(37.7730643607, -122.432032)|Western Addition|1|12
963|(37.7631639138, -122.390061)|Potrero Hill|0|2
964|(37.7205952289, -122.452454)|Ocean View|0|1
965|(37.7515802796, -122.445910)|Twin Peaks|0|5
966|(37.7755402871, -122.496011)|Outer Richmond|0|6
967|(37.7290932789, -122.421656)|Excelsior|0|1
968|(37.7179447831, -122.404236)|Visitacion Valley|0|1
969|(37.7938388811, -122.405002)|Chinatown|0|1
970|(37.7599548603, -122.468537)|Inner Sunset|0|2
971|(37.7825672035, -122.450924)|Presidio Heights|0|1
972|JBANALES|Soma|0|2
973|(37.7744245788, -122.475399)|Inner Richmond|0|1
974|(37.7845464632, -122.418073)|Downtown/Civic Center|0|42
975|(37.7599367457, -122.440978)|Castro/Upper Market|0|1
976|(37.7598258519, -122.409203)|Mission|0|1
977|(37.7754566196, -122.492254)|Outer Richmond|0|1
978|-|Soma|0|1
979|(37.7849923977, -122.445930)|Western Addition|0|7
980|-|Soma|0|6
981|(37.7954261459, -122.405875)|Chinatown|18|23
982|(37.7579906586, -122.398692)|Potrero Hill|0|1
983|(37.7653947114, -122.398410)|Potrero Hill|0|50
984|TCHANG|Financial District|0|118
985|(37.7857262336, -122.394180)|Soma|0|1
986|(37.7113273341, -122.405538)|Visitacion Valley|0|2
987|(37.7678751928, -122.430293)|Castro/Upper Market|0|7
988|DVU|Soma|9|79
989|(37.7776287614, -122.430139)|Western Addition|0|1
990|(37.7581929091, -122.411214)|Mission|0|2
991|(37.7223601294, -122.452524)|Ocean View|0|1
992|(37.7750242009, -122.486188)|Outer Richmond|0|1
993|(37.7745558892, -122.496908)|Outer Richmond|0|1
994|(37.7744101056, -122.463061)|Inner Richmond|0|1
995|-|Soma|0|3
996|-|Soma|0|26
997|(37.7116224553, -122.405462)|Visitacion Valley|0|4
998|(37.7292151548, -122.419917)|Excelsior|0|1
999|(37.7745465164, -122.492605)|Outer Richmond|0|1
1000|(37.7717801054, -122.434967)|Western Addition|0|2
1001|(37.7620267666, -122.389324)|Potrero Hill|8|59
1002|(37.7605645935, -122.421188)|Mission|0|3
1003|(37.7298182639, -122.428701)|Excelsior|0|1
1004|(37.7576735853, -122.413313)|Mission|0|1
1005|(37.7741831137, -122.497540)|Outer Richmond|0|1
1006|(37.7606728416, -122.416701)|Mission|0|54
1007|(37.7562361785, -122.434238)|Castro/Upper Market|0|1
1008|(37.7644912963, -122.421351)|Mission|0|2
1009|(37.7824989491, -122.450910)|Presidio Heights|0|2
1010|(37.7672051483, -122.421392)|Mission|-1|9
1011|(37.7084873258, -122.450238)|Crocker Amazon|0|1
1012|(37.7627991082, -122.421058)|Mission|0|1
1013|(37.7591964033, -122.391729)|Potrero Hill|0|326
1014|(37.7840451596, -122.445743)|Western Addition|83|83
1015|(37.7718238561, -122.403883)|Soma|55|557
1016|(37.7336698926, -122.436127)|Outer Mission|0|1
1017|(37.7821201275, -122.422711)|Downtown/Civic Center|5|49
1018|(37.7969971593, -122.416514)|Russian Hill|0|1
1019|(37.7678968336, -122.433132)|Castro/Upper Market|0|1
1020|(37.7536912122, -122.417165)|Mission|0|1
1021|(37.7568721178, -122.413083)|Mission|0|2
1022|(37.7785831115, -122.443924)|Western Addition|0|2
1023|(37.7612283764, -122.389251)|Potrero Hill|10|69
1024|(37.7212767885, -122.428108)|Excelsior|0|1
1025|(37.7586408659, -122.410910)|Mission|0|1
1026|(37.7734295750, -122.494256)|Outer Richmond|0|1
1027|(37.7956862635, -122.405356)|Chinatown|0|1
1028|-|Russian Hill|0|3
1029|(37.7732342437, -122.492509)|Outer Richmond|0|1
1030|(37.7729212753, -122.497856)|Outer Richmond|0|1
1031|(37.7723548881, -122.509427)|Outer Richmond|0|45
1032|(37.7724255797, -122.507077)|Outer Richmond|0|1
1033|(37.7992711416, -122.413206)|Russian Hill|0|1
1034|(37.8022275049, -122.415517)|Russian Hill|0|1
1035|(37.7530069555, -122.417733)|Mission|0|6
1036|WSOMA MIXED USE-GENERAL|Soma|0|1
1037|(37.7980862788, -122.411305)|Russian Hill|0|4
